x_l , NLO , dNLO
48.40000000 , 3.870135143831660e-04 , 3.515245517399712e-07
48.53333333 , 3.825776585080922e-04 , 3.491320731972508e-07
48.66666667 , 3.777686026804191e-04 , 3.463702053421744e-07
48.80000000 , 3.745011329597566e-04 , 3.450899438312636e-07
48.93333333 , 3.703639607836626e-04 , 3.423504638605096e-07
49.06666667 , 3.661927955537790e-04 , 3.402085241624656e-07
49.20000000 , 3.623936935098015e-04 , 3.381034817212804e-07
49.33333333 , 3.579144120056854e-04 , 3.353917383164737e-07
49.46666667 , 3.541235228596870e-04 , 3.330872968834181e-07
49.60000000 , 3.506349425462286e-04 , 3.310403724317793e-07
49.73333333 , 3.466806520009202e-04 , 3.291859569982354e-07
49.86666667 , 3.429360000997328e-04 , 3.268648833334907e-07
50.00000000 , 3.390257752121315e-04 , 3.244769868023869e-07
50.13333333 , 3.354536236704794e-04 , 3.225611362171550e-07
50.26666667 , 3.315522992300733e-04 , 3.203183271942521e-07
50.40000000 , 3.286112397745778e-04 , 3.187328175029869e-07
50.53333333 , 3.245023064868221e-04 , 3.162156022240722e-07
50.66666667 , 3.211256000419514e-04 , 3.143027140148318e-07
50.80000000 , 3.173850181023643e-04 , 3.121283098837562e-07
50.93333333 , 3.137000292562158e-04 , 3.095710207619017e-07
51.06666667 , 3.102679720994431e-04 , 3.079705235077205e-07
51.20000000 , 3.065457223521861e-04 , 3.057495438554676e-07
51.33333333 , 3.036340725952691e-04 , 3.038948064990009e-07
51.46666667 , 3.000060256120140e-04 , 3.017662800051463e-07
51.60000000 , 2.968041917051947e-04 , 2.995733331487064e-07
51.73333333 , 2.937545280737646e-04 , 2.978533975143481e-07
51.86666667 , 2.898753272811692e-04 , 2.954020180635370e-07
52.00000000 , 2.869618861959463e-04 , 2.939072949586901e-07
52.13333333 , 2.838983807580974e-04 , 2.919806886283396e-07
52.26666667 , 2.810198039307405e-04 , 2.902328724942537e-07
52.40000000 , 2.774295104980099e-04 , 2.878893740325121e-07
52.53333333 , 2.744608918734198e-04 , 2.858671459972430e-07
52.66666667 , 2.714624741343172e-04 , 2.842401657150236e-07
52.80000000 , 2.678483881934463e-04 , 2.817010965689384e-07
52.93333333 , 2.650176380058633e-04 , 2.799745111388115e-07
53.06666667 , 2.617015784045310e-04 , 2.779364022079858e-07
53.20000000 , 2.588672208184484e-04 , 2.761427472301655e-07
53.33333333 , 2.557310662497474e-04 , 2.740227311270993e-07
53.46666667 , 2.530952193132377e-04 , 2.724365836491709e-07
53.60000000 , 2.503034252644747e-04 , 2.706619251024162e-07
53.73333333 , 2.473623664743083e-04 , 2.686208483927398e-07
53.86666667 , 2.445705010276879e-04 , 2.667978896234518e-07
54.00000000 , 2.413812092152520e-04 , 2.647548374549339e-07
54.13333333 , 2.393022851289527e-04 , 2.636285658828999e-07
54.26666667 , 2.362904000803833e-04 , 2.615904958400843e-07
54.40000000 , 2.333763161874279e-04 , 2.594619880939936e-07
54.53333333 , 2.311410958506167e-04 , 2.582271366864397e-07
54.66666667 , 2.280165730926679e-04 , 2.558673146360968e-07
54.80000000 , 2.254782823915101e-04 , 2.543677817994827e-07
54.93333333 , 2.227134229356344e-04 , 2.526082228544802e-07
55.06666667 , 2.205335830846216e-04 , 2.511835829374019e-07
55.20000000 , 2.172543323604790e-04 , 2.488271172503829e-07
55.33333333 , 2.148077810815438e-04 , 2.470414907957729e-07
55.46666667 , 2.121637594741494e-04 , 2.452599118830102e-07
55.60000000 , 2.098325689473123e-04 , 2.435967788316473e-07
55.73333333 , 2.077228209203445e-04 , 2.424235639240867e-07
55.86666667 , 2.049483915840014e-04 , 2.401687338873793e-07
56.00000000 , 2.027077193049093e-04 , 2.388257208638393e-07
56.13333333 , 2.000195566969588e-04 , 2.367907624099030e-07
56.26666667 , 1.976728753978733e-04 , 2.350952047165916e-07
56.40000000 , 1.957386950325561e-04 , 2.337940675320229e-07
56.53333333 , 1.930564283170482e-04 , 2.317689794748304e-07
56.66666667 , 1.906831044935996e-04 , 2.302145247682016e-07
56.80000000 , 1.883912771252652e-04 , 2.286412097982467e-07
56.93333333 , 1.864683464885084e-04 , 2.273181750832748e-07
57.06666667 , 1.839042278090342e-04 , 2.252068146691082e-07
57.20000000 , 1.817204645766712e-04 , 2.235900651526915e-07
57.33333333 , 1.787955179677755e-04 , 2.214105197474902e-07
